ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
146,22/11/2025,0,0,"1,3","0,2",0,0,0,0,"0,1",0,0,0,"16,8",0,0,0,0,0,0,"0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,"0,1",0,0,0,0,0,0,0,0,"0,2","0,1","0,3",0,0,0,0,0,0,0,0,"0,1","0,1","0,1",0,0,0,,"0,1",,
147,23/11/2025,"4,2","7,5","10,4","0,8","1,2",6,"7,9","11,3","4,4","0,3","0,8","4,4","6,6","0,5","0,8","0,1","2,7","13,5",4,"0,5",0,"9,9","3,8","2,4","4,5","22,4","7,9",1,"7,2","15,8","10,4","0,6","10,5","3,5","1,2","1,2",0,14,"2,6","14,7","9,9","10,6","1,7","1,4","5,2","1,5","0,3","4,8","5,1",10,"0,4",0,"16,6","4,7","0,8","0,1","15,1","17,1","16,1","7,9","3,8","2,7","3,5","12,1",11,"2,9",3,,"9,2",,
148,24/11/2025,"4,5","0,6",1,"0,6","1,9","2,3",1,1,"1,7","0,5","2,7","0,2","4,6",0,"0,7","0,6","2,7","0,9","0,8",0,0,0,"1,1",2,"1,8",4,"3,2",2,"1,3","0,7","0,7","0,4","2,6",4,"0,3","0,1","0,7","2,9","1,5","1,5","1,3",1,"1,4","1,9","0,6","0,7","0,4",0,"0,5",0,0,0,"1,2","0,9","0,1","0,1",0,"0,6",0,"0,4",1,"1,7","3,5",1,"2,8","0,8","3,5",,"0,1",,
149,25/11/2025,"0,1","0,3","0,8","0,5","0,2","0,1","0,9","0,3","1,2","0,8","2,1","0,2","2,3","0,2",0,"0,1","0,2","0,4","0,5",0,"0,6","3,8","0,4","0,6","0,2","0,3","0,4","1,8","2,9",0,"0,3","0,1","0,2","0,1","0,2","0,3","0,3","1,7","0,3","1,8","1,1","1,1","0,2","0,3","0,4","0,4","0,5","1,3","0,4","0,8","0,2","0,3","1,2","0,5","0,2","0,2","1,7",0,"0,3","0,3","0,3","0,7",0,0,"0,4","1,3","0,2","1,9","0,5",,
150,26/11/2025,0,0,0,"0,2",0,0,"0,8",0,0,0,0,0,2,1,0,0,0,0,"0,1",0,"0,1","0,5","0,1",0,0,0,0,0,"0,2","0,1",0,"0,1","0,1",0,"0,1",0,0,"0,2","0,1",0,0,"0,1",0,0,"0,2","0,2",0,0,0,"0,2","0,9","0,4",0,"0,4",0,"0,1",0,0,"0,2",0,"0,1","0,3","0,2",0,"0,3",0,0,"0,2","0,6",,
151,27/11/2025,0,"0,3","0,4","0,7","0,2",0,"1,2",0,"0,2","0,3",0,0,"1,5","0,3",0,0,"0,2","0,1","1,3",0,"0,1",0,"0,3","0,3",0,0,"0,1",0,"0,1",0,0,"0,1","0,1",0,"0,1",0,0,0,0,"1,2","0,3","0,7",0,0,"0,7","0,9","0,2","0,1",0,0,"0,1","0,2","0,7","0,9",0,"0,1",0,0,0,0,"0,1","0,3",0,0,"0,1",0,0,0,0,,
152,28/11/2025,"0,8","1,1","1,4","0,6","0,9","0,8","0,6","0,5","1,7","0,2","2,1","0,5","2,9","0,7","1,4","1,3","1,4","0,5","0,4",1,1,"1,2","0,6","1,9","0,8","0,6","0,8","1,2",1,"0,8","1,1","1,1","0,8","1,1",1,1,"1,2",1,"0,7","1,5","0,6","0,5","0,6","0,7","0,5","0,5","0,5","0,9","0,4","0,9",1,"0,7","1,1","0,5","0,5","0,8","0,7","1,4","0,7","1,2","0,6","0,4",1,"1,6","0,8","1,6","0,8",,"0,9",,
153,29/11/2025,0,"0,4","0,3","1,3","0,3","0,4",1,1,"1,4","14,3","3,2","0,6","4,4","1,8","0,4","0,2","0,3","0,5","0,9","18,6","12,3","18,9","0,1","0,5","0,2","0,4","0,5","0,1",0,0,0,"0,3","0,3","0,5",0,0,"0,3",0,0,"1,7","0,2",1,"0,4","0,6","0,4","1,2","1,6","13,6","0,4",0,"6,2",8,"0,8",0,"0,5","9,6","4,2","0,2","0,3","0,4","0,9","16,4",0,"0,1",0,"0,1","0,3",,"1,6",,
154,30/11/2025,0,"4,5","15,1","11,2",0,"0,2",5,"2,8","20,2","12,5","10,1","5,4","32,3","36,6",0,0,0,"1,1",2,"21,4","25,1",12,"6,1",0,"0,1","3,2",10,0,"0,1","0,2",0,0,0,0,0,0,0,0,"13,9",15,7,"7,4","5,8","3,6","1,3","5,6","9,9","14,5","2,5","19,9","45,4","3,1","13,9","2,5","8,7","13,9","14,4",0,"0,2",0,"0,9",25,"0,7",0,"0,6",0,"20,7",,"2,6",,
155,1/12/2025,"0,6",0,0,0,"0,4","0,1","0,1",0,0,"0,2","5,7",0,"0,3",0,"0,1",0,0,0,0,"0,1",0,0,0,"0,4","0,3","0,1","0,1","0,4",0,0,0,0,0,"0,1",0,"0,1",0,0,"0,1",0,0,0,"0,2","0,5",0,0,0,0,0,0,0,0,0,0,0,"0,1",0,"0,1",0,0,0,"1,3",0,"0,2",0,"1,2","0,2","3,4",0,,
156,2/12/2025,"0,2",0,0,"0,6",0,0,"0,1","0,3",0,"0,7",0,"0,3",0,"0,1","1,1","0,8","0,7","0,3","0,4","0,7","0,3","0,3",0,"0,1",0,"0,1","0,1","1,4","1,1",2,"0,5","0,6","0,4","0,5","0,7","0,9","0,9","1,6",0,0,0,0,0,0,"0,5","0,4","0,3","0,3","0,1","0,3","0,5","0,3",0,"0,2","0,4","0,7","0,3","0,7","0,7","0,3","0,2","0,1",2,"1,5","0,5","2,1",0,0,"0,3",,
157,3/12/2025,"2,5",0,0,"0,4",0,"1,7","0,1","0,4",0,"0,5",0,"0,3",0,"0,4",2,1,"0,4",2,1,0,0,0,"0,2",0,"1,2","1,2","0,4","0,2",0,"0,3","0,2",0,0,"0,5","0,1",0,0,"0,4","0,2",0,0,0,"0,4",0,"1,2","1,6","0,2",0,"0,4",0,"0,2",0,0,"0,3","0,2",0,0,0,"0,3",0,"1,6","0,2","0,6",0,"0,2","0,1","0,3",0,0,"0,3",
158,4/12/2025,"0,4",0,0,"0,1","0,2","0,2",0,"0,2","0,5","0,1","0,3","0,1",0,"6,4","0,4","0,4",0,0,0,"3,1",0,0,0,0,"0,2",0,"0,1","0,7",0,0,0,"1,3","0,4","0,5",0,"1,3","1,6",0,0,0,0,0,"0,1","0,1",0,0,"0,1",0,"0,3",0,"11,8",0,0,0,0,0,0,"0,6","0,8","0,8","0,2",0,"0,1","0,4","0,1","2,5",0,"6,8",0,0,
159,5/12/2025,"2,6",7,"9,4","7,6","1,6","1,9","11,6","12,9","6,8","5,9","4,8","22,8","7,7","29,4","5,9","7,5","8,7","4,3","9,1","45,2",0,"22,4","7,9","13,8","1,7","5,5","2,7","1,7","14,7","12,8",32,"3,9","7,4","9,9",16,"6,4","4,1","12,8",5,"8,4","7,3","10,4","5,6","7,2","7,4","10,1","8,6","19,7","14,7","28,4","29,8","32,5","7,3","10,7","34,6",26,"20,3",1,"23,5","2,1","7,1",5,"15,1",1,"16,9","3,3","5,7","4,8","9,3",9,
160,6/12/2025,0,"0,3","2,5","2,8",0,0,"11,4","3,1","1,5","3,1","0,3","0,8","27,8","0,3",0,0,0,"0,1","6,2","7,4","0,1","3,8","0,7",0,0,"0,1","0,1",0,"0,2",0,0,0,0,0,"2,1",0,0,0,"0,1","11,2","2,5","11,5",0,"0,1","1,2","1,9","4,3",13,"0,9","2,1","0,4","0,2",4,7,"0,5","1,9","5,1",0,"2,9",0,0,"4,6","0,1",0,"8,1",0,"0,2","0,5","1,2","5,9",
161,7/12/2025,"0,2",0,"0,3","0,6",0,"0,2","0,9","0,1","0,6","0,5","0,1","0,2","1,9","29,3",0,0,0,"0,4",1,"0,1","1,5","0,6","0,7",0,"0,3","0,3","0,1","0,1","4,9",0,"0,1",0,0,0,"0,1",0,"0,4",0,"0,3","0,6","0,8","1,1",0,0,"0,7","0,9","0,1",1,0,"4,2","27,9","2,1","0,2","0,6","0,3","1,2","0,7",0,"0,1",0,"0,1","24,4","0,1",0,"1,2",0,0,"0,1","0,2",0,
162,8/12/2025,0,0,0,"0,4",0,0,0,0,0,"7,1",0,0,0,"0,1",0,0,"0,2",0,0,"6,6",15,"19,3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,8","27,8","0,2","0,5","1,1","0,4",0,0,0,"4,5","31,2",0,0,"0,4",0,"5,9",0,0,0,0,0,"0,1","0,1","0,7",
163,9/12/2025,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,9","4,8","0,6",0,0,0,0,0,0,0,0,0,0,"1,8",0,0,"2,9","0,2",0,"2,2","1,8",1,"5,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,0,0,0,0,"1,6","0,7","0,7",0,0,"2,7","5,3","0,2",0,0,0,0,
164,10/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,"0,1",0,"0,1",0,"0,2",0,0,
165,11/12/2025,0,"0,1",0,"0,1",0,0,"0,6","0,1",0,"0,7","0,4",0,"0,5","0,7",0,0,0,0,"0,3",0,"0,2","1,3",0,"0,3",0,0,0,"0,4",0,0,0,0,"0,1",0,0,0,0,0,0,"1,1",1,2,0,0,0,"0,1","0,3","2,2",0,"0,2","0,4",0,"0,4",0,0,0,"0,8","0,5",0,0,0,"0,1",0,0,0,"0,3",0,"0,1",0,"0,1",
166,12/12/2025,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,
167,13/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,
168,14/12/2025,0,0,0,"0,8",0,0,0,0,0,"0,3",0,0,0,0,"5,4","0,3",0,0,0,"1,8",0,0,0,0,0,0,0,"7,7",0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,"0,1","0,1","5,6",0,"7,7",0,0,0,0,
169,15/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"6,8","20,1",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,"10,7",0,"3,1",0,"0,1",0,0,0,"0,1","19,2",0,0,0,0,0,0,"0,1",0,"0,2",0,0,"5,8",0,
170,16/12/2025,0,0,0,"1,3","0,1","1,8",0,"24,3",0,"0,5",0,"22,5",0,"1,5",0,0,"1,1","1,5","0,1","28,8","17,7","1,4","0,4","0,7","0,3","0,8","1,1",0,"12,1","11,7","4,7","8,8","4,6",0,"33,3","0,2","0,1","2,7","2,4",0,0,0,"3,5","0,2","0,5","1,1","1,3","4,6","24,3","9,5","4,6","9,6",0,"0,1",24,0,"1,2",0,"2,9",0,"2,8",0,"0,4",0,"2,3",0,"2,2",0,"10,6","8,5",
171,17/12/2025,0,0,0,"3,9",0,"0,7",0,"13,3",0,"1,7",0,"31,4",0,"0,2",0,"0,1",1,9,"2,6",0,"9,8","8,8","13,1",0,"0,2","10,6","2,3",0,"1,5","0,5","11,1","0,8","1,7","0,1","20,2","2,3","0,5","0,5","10,3",0,0,0,0,0,"12,2","2,9","4,6",8,"8,4","16,9","0,1",2,0,"0,7","27,7",0,"8,8",0,3,"0,6","3,5",0,"0,1","0,1","7,5",0,"4,8",0,"16,1","5,3",
172,18/12/2025,"0,6","0,1",0,"1,7","0,3","0,4",0,"3,7",0,"0,1",0,"5,7",0,"1,7","5,6","1,5","6,9","8,1","0,2",0,"8,7",1,"2,7","0,1","0,8","5,2","1,7","9,3","4,8","10,6","1,3","0,9","0,7","2,1","10,9","7,6","2,5","0,5","1,1",0,0,0,"0,9","0,5","6,1","0,9","1,2","0,6","2,6","10,8","0,6","4,2",0,"0,4","8,4",0,"0,9","5,2","5,4","3,1",6,"0,1","1,8","7,8","2,7","17,2","1,5",0,"1,7","4,1",
173,19/12/2025,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,"0,1","0,1",0,0,0,0,0,0,
174,20/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,"0,1",0,0,0,0,
175,21/12/2025,"2,6","0,9","0,6",0,"1,1","0,1","0,5",0,"1,3","0,5","4,9",0,"1,3",0,0,"1,3","1,9","0,1",0,"0,3",0,0,"0,4","2,6","0,2",0,"0,3",0,31,"15,5","0,2",0,0,"5,4",12,0,"0,2","20,3",0,"0,2",0,0,"0,1","0,4",0,0,0,0,0,"1,8",0,0,"0,2","0,4","0,1",0,"0,1","0,3","2,6","0,8",0,"0,4","19,8","3,4","1,9","0,1",0,"2,9","0,6",0,"4,5"
176,22/12/2025,0,"1,2","0,8","9,3","0,3","0,9","0,4","15,3","1,2","7,7",0,"12,4","0,1","11,2",0,0,"0,8","3,9","1,7","22,8","24,6","7,6","2,2","0,8","0,3",3,"3,4",0,"1,5",0,"5,7","0,1","0,8","0,1","12,5",1,0,0,"3,5","0,7","0,6","0,3","2,5","1,2","2,7","5,5",9,"5,7","12,1","9,1",8,"27,2","0,4","1,3",10,0,"5,1",0,"19,6",0,"5,3","0,2",0,0,"6,9",0,4,0,"2,6","5,4","1,7"
177,23/12/2025,"0,2",0,0,0,"0,1",0,0,0,0,"0,2",0,0,0,0,"0,9","0,4",0,0,0,"0,1","0,3","0,6",0,"0,9","0,1","0,1","0,2","1,6",0,0,"0,1",0,"0,1",1,0,"0,3",0,0,"0,1",0,0,0,0,"0,1",0,0,0,"0,8",0,0,"0,1",0,0,0,0,0,"0,1",0,0,0,"0,2",0,0,0,0,"1,8","0,1",0,0,0,"0,1"
178,24/12/2025,"0,2","0,1","0,1",0,"0,1",0,0,0,"0,1",0,"1,1",0,"0,1","0,1",0,0,0,0,0,0,0,0,0,"0,7","0,1",0,0,0,0,"0,2",0,0,0,"0,2",0,0,0,"0,1",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,1",0,0,"0,2","0,3",0,0,"0,1",0,"0,6",0,0,"8,1"
179,25/12/2025,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,"5,3"
180,26/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,27/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0
182,28/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,29/12/2025,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,"1,7",0,0,0
184,30/12/2025,"0,2","0,4","1,6","1,4",0,"0,2","0,9","1,1","1,2","2,2","0,9","1,1","3,2","0,8","0,1","0,1","0,2","1,2","2,1","0,7",0,0,"0,4","0,6",0,"0,7","0,3",0,0,0,"0,2","0,3","0,4","0,2",0,"0,3","0,2",0,0,"0,2","0,1","0,4",0,0,"2,1","2,1","1,2",0,"0,3",0,"1,3","0,1","0,3",1,1,0,0,"1,1",0,"0,8","0,6","1,9",0,"0,1",0,"0,1","0,1","6,8",0,"0,4","0,2"
185,31/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,9",0,0,0,0,0,"0,5",0,0,0
186,Número de Registros,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,154,184,184,184,184,184,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,183,182,184,184,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,159,184,29,11
187,IISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
188,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
237,18/08/2025,"0,6","0,6","0,8","0,9","0,6",1,"3,1",2,"2,4","1,4","0,6","1,4","2,7","1,4","0,5","0,6","0,8","1,1","1,7","0,3","0,5","0,2","1,7","0,9","1,1","1,4","1,4","0,6","0,1","0,2","1,3","0,7",1,"0,7","0,1","6,7","1,8","0,1","1,1",2,"2,2","3,1","0,7","0,7","1,2","1,9","0,5","0,2","1,8",0,"0,3","0,6","1,1","2,2","1,2","0,3","0,1",1,"0,5","1,5","0,9","0,8","0,1","0,4","0,5","0,4","1,1","4,6","0,4",,
238,19/08/2025,"0,1","0,1",0,0,"0,1",0,"0,6","0,1",0,0,"0,3",0,"0,4","0,7","0,2",0,1,0,"0,2","3,4","0,1",1,"0,1","0,3",0,0,0,"0,5","0,4","0,3","0,2",0,0,"0,1",0,0,0,"0,5","0,1","0,3","0,1","0,4","0,2","0,1","0,1","0,1",0,"0,1",0,"0,6","0,9","0,1","0,1","0,3","0,2",0,"0,2","2,7","0,1","1,3",0,"0,3","0,4","3,3","0,2","0,1","0,1","2,8","0,7",,
239,20/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
240,21/08/2025,"0,5","1,1","1,1","0,1","1,6","1,4","1,3","0,1",3,"0,8",5,0,"6,6",0,"0,2","0,4",0,"0,2","0,5",0,0,"0,1","0,6","4,2",1,"0,3","1,6",0,0,0,0,"0,4","0,7","0,9",0,0,0,0,"0,5","2,3","0,9","1,5","1,6","2,2","0,1","0,1","0,8",0,0,0,0,0,"1,2","0,6",0,0,0,"0,6",0,"0,5","0,2","1,3",0,"0,5",0,0,"0,7","3,3",0,,
241,22/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,"1,5",0,0,"0,1",0,0,0,0,0,0,0,0,"0,3","28,2",0,0,0,0,"0,2","0,9","0,2","2,3",0,0,"0,2","0,2","0,1",0,0,0,0,0,"0,7",0,0,0,0,0,0,0,0,"1,5","1,6","0,8",0,"0,1",8,7,"0,4",0,0,0,0,,
242,23/08/2025,1,"2,4","3,7",2,3,"1,8","3,7","0,3","3,1","1,7","1,3","0,3","4,7","4,6","1,1",1,"0,5","2,1",4,"2,1","0,3","0,6","5,4","1,9","2,4","2,4","2,4",1,"0,3","0,1","0,5",1,"1,2",1,"0,3","0,3","0,7","0,1","3,1","3,9",1,"1,4","3,4","1,7","2,8","2,7","1,6","0,4","0,3","0,9","5,7","0,5","3,3","4,5","0,7","0,1","0,5","1,4","0,6","1,3",2,"1,1","0,1","2,1","0,8","0,1","2,4","3,7","0,1",,
243,24/08/2025,"8,7","7,8","7,3",8,"7,8","6,1","10,6","8,5","7,9","6,2","15,3","8,2","13,3","4,6","11,2","10,1","3,4","7,8","10,4","3,3","3,2","2,7",9,12,"7,3","7,1","6,8",7,2,"2,4","5,9","7,6","5,9","9,3","2,1","6,1","7,8","2,5","8,9","10,8","10,8","10,8","6,5","7,8","9,3","9,3","5,8","2,9","7,5","2,4","4,2","2,9","9,4","8,5","7,4","2,5","2,6","5,7","2,4","5,6","5,8","4,6","2,8","4,1","3,1",7,8,"14,3","2,2",,
244,25/08/2025,0,"0,1","0,4","1,6",0,"0,1",3,"0,3","1,9","0,4","0,4","0,1","1,6","0,7",0,0,"0,4","0,5","4,5","0,3","0,4","0,5","0,4",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,1",0,"0,1","1,8","0,5","0,9",0,0,"1,9","1,6",0,"0,3","0,1","0,2","0,6","0,4","1,4","2,3","0,1",0,"0,1",0,"0,1",0,0,"1,7",0,"0,4","0,2",0,0,"0,6","0,2",,
245,26/08/2025,0,"3,1",5,"2,4","0,4",0,"13,6","0,4",3,"2,3","2,3","0,1","10,6","0,7",0,0,0,"1,3","8,3","0,6",0,0,"2,5","2,3",0,"0,7",0,0,0,"0,1",0,0,"0,1",0,"0,3",0,0,"0,7","2,2",15,"8,1","11,4","0,2","0,2","3,9","3,8","0,2",0,0,0,1,"0,2","9,9","8,6","0,2",0,0,0,0,0,0,"3,9","0,2","0,1",0,0,"1,4","12,5",0,,
246,27/08/2025,0,"0,7","1,2","11,1","0,2","0,7","10,8",1,"1,7","9,7","1,4","0,5","7,1","2,1",0,0,0,7,"15,9","0,1","0,9","0,2","4,5","2,3",0,"2,3","1,3",0,0,"0,1",0,"0,3","0,9",0,0,0,0,0,"1,4","3,6","1,5",4,0,0,"8,4","5,9","2,5","0,2","0,5",0,"2,2","0,7",3,"7,4","0,4","0,1","0,1",0,"0,1",0,"1,4","5,3",0,0,0,0,"0,2","1,7",0,,
247,28/08/2025,0,"1,1","0,5","0,6","0,2","0,2","1,5","0,2","0,8","2,4","3,9",0,"3,1","0,6",0,0,0,"0,1","0,6",0,"0,3",0,"0,5","1,5","0,1","0,2","0,1",0,0,"0,2",0,"0,1",0,0,"0,3","0,1",0,0,"0,6","1,4","0,6","1,2",0,0,"0,2","0,5","1,2","0,1","0,1",0,"1,3","0,8","0,7","1,2","0,1",0,0,0,0,0,"0,1","2,6",0,0,0,0,"0,2",8,0,,
