ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
30,29/07/2025,0,0,"0,2","1,6","0,7","0,3","1,4","1,3","1,7","0,4","4,7",1,"5,4","1,5","0,1","0,1","1,6","0,5","1,2",,"4,6","3,7","0,6","1,7","0,2","0,2","0,2","0,2","3,2","3,3","1,4","0,4","0,7",0,"1,7",1,"0,3",4,"0,1","1,1","1,3","1,3","0,3","0,4","1,3","2,1","0,2","3,1","0,5","2,4","2,1","2,6","0,3","1,1","1,3","3,4","1,6","0,5","1,8","1,1","0,8","0,7","9,1","0,4","1,5","0,1","0,2","17,3","3,2",,
31,30/07/2025,0,0,0,"0,1",0,0,"0,1",0,0,0,"0,1",0,"0,2","0,3",0,0,0,0,"0,4",,0,0,"0,1",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2","0,3",0,0,0,0,"0,6",0,0,"0,1",0,0,"0,1",0,0,0,0,"0,2",0,0,0,0,0,"0,1","0,1",,
32,31/07/2025,0,"1,2","1,6",0,"1,1",0,"4,5",0,"0,3",0,0,0,"1,6",0,0,0,0,"0,4","1,6","0,1",0,0,"0,6","1,4",0,"0,2","0,1",0,0,0,0,0,"0,1","0,1",0,0,0,0,"1,3","3,9","3,2","4,8","0,5","1,2","0,6","0,1",0,0,0,0,0,0,"2,1","1,2",0,0,0,0,0,0,0,"0,2","0,1",0,0,0,"1,1","4,6",0,,
33,01/08/2025,"0,6","0,8",1,"2,2","0,9","0,5","5,1","0,4","1,2","3,3","2,3",0,"5,2","0,5","0,8","0,7",0,"1,5","4,5",0,0,0,"2,1","1,3","0,5","1,3","0,8","0,5",0,"0,4",0,"0,3","0,2",1,"0,7","1,6","1,1","0,1","0,9","2,6","3,1","4,5","0,3","0,4","2,8","2,9","2,3",0,"0,4",0,"1,3","1,3","1,4","3,9","0,1",0,0,"0,3",0,"0,1","0,7","2,7",0,0,0,"0,7","0,8","12,8",0,,
34,02/08/2025,"0,2","0,3","0,6",3,"0,3","0,4","6,4","3,3",4,"6,1","4,1","1,9","7,2","2,5","2,2","2,4","3,2","0,9",4,"1,1","2,5",1,1,"1,7","0,5","0,3","0,5","1,9","3,9","4,5","0,2","2,3","1,1","0,3","2,9","5,3","4,5","4,9","0,2","2,8","2,2","4,4",0,"0,1","1,8","3,6","4,1","1,7","3,3","0,1","2,3","1,1","0,7","3,4","1,7","1,1","0,4","3,3","1,8","4,2","0,9","5,2","2,8","3,2","0,9",1,"0,1","9,3",0,,
35,03/08/2025,0,"0,4","0,1","1,1","0,3",0,"2,8",0,"0,2","0,4","0,1",0,"0,9","1,2","0,1","0,1",0,"0,4","1,8","0,8","0,9",1,"0,6","0,7",0,"0,2","0,1",0,"0,1",0,0,"0,1","0,2",0,"0,1",0,"0,1",0,"0,3","1,6","0,5","1,5",0,0,"1,4","1,7","0,1","0,6","0,1","0,1","2,4","1,4","0,5","1,9",0,"0,4","0,2",0,0,0,"0,2","1,2",0,0,0,"0,3","0,3","1,6","0,1",,
36,04/08/2025,0,"1,5","1,4",7,"1,2","0,7","7,4","0,9","1,9","8,4","1,9","0,5","2,4","4,7",0,0,0,"2,8","7,1","8,4",2,"2,9","2,6","1,7","0,6","1,2",1,0,"0,1",0,"0,1","0,1","0,6","0,1","0,3","1,7","0,5","0,2","2,4","2,9","2,7","3,9","0,7","0,3","4,3",6,"5,1","2,1","0,9","0,8","4,9","1,6","2,2","4,5",1,"1,2","1,1","0,1","0,3","0,3","1,2","8,5","0,1","0,3","0,3",0,"1,8","4,3","0,7",,
37,05/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,1",0,0,0,0,"0,1",0,,
38,06/08/2025,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,"0,3",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,"0,1",0,"0,1","0,1","0,1",0,0,0,0,0,0,0,"0,1",0,0,"0,1","0,1","0,1",0,0,"0,8","0,1",,
39,07/08/2025,"26,5","11,2","13,8",12,"10,9","14,7","17,8","16,9","21,7","10,1","26,5","17,1","21,5","21,5","33,7","42,3","6,1","7,4","16,5","8,1","26,9","26,5","9,1","17,2","20,8","9,1","16,8","16,1",10,"6,7","21,4","32,1","28,3","37,3","14,3",30,"26,5","9,2","13,9","20,3","14,3","19,5","11,6","11,7","12,7","16,7","10,9",22,"20,7","16,2","12,9","25,6","12,8","13,1","18,6",23,"16,9","5,7","7,8","7,7","17,3","15,8","5,3",11,"14,2","15,3","9,1","13,7","8,1",,
